city,province,pilot_zone,post_pilot,resolved_smart_factory_projects,smart_factory_rank,direct_admin_municipality,mega_hub,top_5_smart_factory_city,top_10_gdp_city,diffusion_type
Hengyang,Hunan,0,0,1,16.0,0,0,0,0,nonpilot_low_adoption
Hohhot,Inner Mongolia,0,0,2,15.0,0,0,0,0,nonpilot_low_adoption
Huai'an,Jiangsu,0,0,1,16.0,0,0,0,0,nonpilot_low_adoption
Huangshi,Hubei,0,0,3,14.0,0,0,0,0,nonpilot_low_adoption
Huizhou,Guangdong,0,0,1,16.0,0,0,0,0,nonpilot_low_adoption
Huzhou,Zhejiang,0,0,2,15.0,0,0,0,0,nonpilot_low_adoption
Jian,Jiangxi,0,0,1,16.0,0,0,0,0,nonpilot_low_adoption
Jiangyin,Jiangsu,0,0,1,16.0,0,0,0,0,nonpilot_low_adoption
Jiaxing,Zhejiang,0,0,3,14.0,0,0,0,0,nonpilot_low_adoption
Jilin,Jilin,0,0,1,16.0,0,0,0,0,nonpilot_low_adoption
Jinan,Shandong,1,1,4,13.0,0,0,0,0,pilot_non_hub
Jincheng,Shanxi,0,0,2,15.0,0,0,0,0,nonpilot_low_adoption
Jingdezhen,Jiangxi,0,0,1,16.0,0,0,0,0,nonpilot_low_adoption
Jingmen,Hubei,0,0,1,16.0,0,0,0,0,nonpilot_low_adoption
Jinhua,Zhejiang,0,0,1,16.0,0,0,0,0,nonpilot_low_adoption
Jining,Shandong,0,0,3,14.0,0,0,0,0,nonpilot_low_adoption
Jinjiang,Fujian,0,0,2,15.0,0,0,0,0,nonpilot_low_adoption
Jinzhong,Shanxi,0,0,1,16.0,0,0,0,0,nonpilot_low_adoption
Jiujiang,Jiangxi,0,0,2,15.0,0,0,0,0,nonpilot_low_adoption
Jiyuan,Henan,0,0,2,15.0,0,0,0,0,nonpilot_low_adoption
Karamay,Xinjiang,0,0,1,16.0,0,0,0,0,nonpilot_low_adoption
Kunming,Yunnan,0,0,3,14.0,0,0,0,0,nonpilot_low_adoption
Lanzhou,Gansu,0,0,2,15.0,0,0,0,0,nonpilot_low_adoption
Lhasa,Tibet,0,0,1,16.0,0,0,0,0,nonpilot_low_adoption
Lianyungang,Jiangsu,0,0,3,14.0,0,0,0,0,nonpilot_low_adoption
Liaocheng,Shandong,0,0,1,16.0,0,0,0,0,nonpilot_low_adoption
Lingyuan,Liaoning,0,0,1,16.0,0,0,0,0,nonpilot_low_adoption
Linyi,Shandong,0,0,3,14.0,0,0,0,0,nonpilot_low_adoption
Liupanshui,Guizhou,0,0,1,16.0,0,0,0,0,nonpilot_low_adoption
Liuzhou,Guangxi,0,0,1,16.0,0,0,0,0,nonpilot_low_adoption
Liyang,Jiangsu,0,0,1,16.0,0,0,0,0,nonpilot_low_adoption
Luoyang,Henan,0,0,4,13.0,0,0,0,0,nonpilot_low_adoption
Luzhou,Sichuan,0,0,1,16.0,0,0,0,0,nonpilot_low_adoption
Maoming,Guangdong,0,0,1,16.0,0,0,0,0,nonpilot_low_adoption
Mengzhou,Henan,0,0,1,16.0,0,0,0,0,nonpilot_low_adoption
Mianyang,Sichuan,0,0,3,14.0,0,0,0,0,nonpilot_low_adoption
Mudanjiang,Heilongjiang,0,0,1,16.0,0,0,0,0,nonpilot_low_adoption
Nanchang,Jiangxi,0,0,8,9.0,0,0,0,0,nonpilot_low_adoption
Nanjing,Jiangsu,0,0,9,8.0,0,0,0,0,nonpilot_low_adoption
Nantong,Jiangsu,0,0,13,5.0,0,0,0,0,nonpilot_low_adoption
Ningbo,Zhejiang,0,0,13,5.0,0,0,0,0,nonpilot_low_adoption
Ningde,Fujian,0,0,1,16.0,0,0,0,0,nonpilot_low_adoption
Ordos,Inner Mongolia,0,0,1,16.0,0,0,0,0,nonpilot_low_adoption
Pingdingshan,Henan,0,0,1,16.0,0,0,0,0,nonpilot_low_adoption
Putian,Fujian,0,0,1,16.0,0,0,0,0,nonpilot_low_adoption
Qingdao,Shandong,0,0,17,4.0,0,0,1,0,nonpilot_industrial_hub
Qinhuangdao,Hebei,0,0,2,15.0,0,0,0,0,nonpilot_low_adoption
Qinzhou,Guangxi,0,0,3,14.0,0,0,0,0,nonpilot_low_adoption
Qiqihar,Heilongjiang,0,0,1,16.0,0,0,0,0,nonpilot_low_adoption
Quanzhou,Fujian,0,0,3,14.0,0,0,0,0,nonpilot_low_adoption
Quzhou,Zhejiang,0,0,1,16.0,0,0,0,0,nonpilot_low_adoption
Rizhao,Shandong,0,0,2,15.0,0,0,0,0,nonpilot_low_adoption
Sanming,Fujian,0,0,1,16.0,0,0,0,0,nonpilot_low_adoption
Sanya,Hainan,0,0,1,16.0,0,0,0,0,nonpilot_low_adoption
Shanghai,Shanghai,1,1,30,1.0,1,1,1,0,frontier_municipality_hub
Shaoxing,Zhejiang,0,0,1,16.0,0,0,0,0,nonpilot_low_adoption
Shenyang,Liaoning,1,1,8,9.0,0,0,0,0,pilot_non_hub
Shenzhen,Guangdong,1,1,6,11.0,0,1,0,0,pilot_industrial_hub
Shihezi,Xinjiang,0,0,1,16.0,0,0,0,0,nonpilot_low_adoption
Shijiazhuang,Hebei,0,0,3,14.0,0,0,0,0,nonpilot_low_adoption
Shizuishan,Ningxia,0,0,1,16.0,0,0,0,0,nonpilot_low_adoption
Suzhou,Jiangsu,1,1,7,10.0,0,0,0,0,pilot_non_hub
Tai'an,Shandong,0,0,2,15.0,0,0,0,0,nonpilot_low_adoption
Taiyuan,Shanxi,0,0,2,15.0,0,0,0,0,nonpilot_low_adoption
Taizhou,Jiangsu,0,0,6,11.0,0,0,0,0,nonpilot_low_adoption
Tangshan,Hebei,0,0,3,14.0,0,0,0,0,nonpilot_low_adoption
Tianjin,Tianjin,1,1,17,4.0,1,0,1,0,frontier_municipality_hub
Tieling,Liaoning,0,0,1,16.0,0,0,0,0,nonpilot_low_adoption
Tongchuan,Shaanxi,0,0,1,16.0,0,0,0,0,nonpilot_low_adoption
Tongling,Anhui,0,0,3,14.0,0,0,0,0,nonpilot_low_adoption
Tongxiang,Zhejiang,0,0,2,15.0,0,0,0,0,nonpilot_low_adoption
Urumqi,Xinjiang,0,0,4,13.0,0,0,0,0,nonpilot_low_adoption
Weifang,Shandong,0,0,5,12.0,0,0,0,0,nonpilot_low_adoption
Wenshan,Yunnan,0,0,1,16.0,0,0,0,0,nonpilot_low_adoption
Wenzhou,Zhejiang,0,0,3,14.0,0,0,0,0,nonpilot_low_adoption
Wuhai,Inner Mongolia,0,0,1,16.0,0,0,0,0,nonpilot_low_adoption
Wuhan,Hubei,1,1,12,6.0,0,0,0,0,pilot_non_hub
Wuhu,Anhui,0,0,4,13.0,0,0,0,0,nonpilot_low_adoption
Wuxi,Jiangsu,0,0,3,14.0,0,0,0,0,nonpilot_low_adoption
Wuzhong,Ningxia,0,0,2,15.0,0,0,0,0,nonpilot_low_adoption
Xi'an,Shaanxi,1,1,11,7.0,0,0,0,0,pilot_non_hub
Xiamen,Fujian,0,0,9,8.0,0,0,0,0,nonpilot_low_adoption
Xiangtan,Hunan,0,0,1,16.0,0,0,0,0,nonpilot_low_adoption
Xiangyang,Hubei,0,0,2,15.0,0,0,0,0,nonpilot_low_adoption
Xianyang,Shaanxi,0,0,1,16.0,0,0,0,0,nonpilot_low_adoption
Xichang,Sichuan,0,0,1,16.0,0,0,0,0,nonpilot_low_adoption
Xilinhot,Inner Mongolia,0,0,1,16.0,0,0,0,0,nonpilot_low_adoption
Xingtai,Hebei,0,0,1,16.0,0,0,0,0,nonpilot_low_adoption
Xinyu,Jiangxi,0,0,1,16.0,0,0,0,0,nonpilot_low_adoption
Xuchang,Henan,0,0,1,16.0,0,0,0,0,nonpilot_low_adoption
Xuzhou,Jiangsu,0,0,2,15.0,0,0,0,0,nonpilot_low_adoption
Yancheng,Jiangsu,0,0,2,15.0,0,0,0,0,nonpilot_low_adoption
Yangzhong,Jiangsu,0,0,1,16.0,0,0,0,0,nonpilot_low_adoption
Yangzhou,Jiangsu,0,0,4,13.0,0,0,0,0,nonpilot_low_adoption
Yantai,Shandong,0,0,1,16.0,0,0,0,0,nonpilot_low_adoption
Yibin,Sichuan,0,0,1,16.0,0,0,0,0,nonpilot_low_adoption
Yichang,Hubei,0,0,4,13.0,0,0,0,0,nonpilot_low_adoption
Yinchuan,Ningxia,0,0,3,14.0,0,0,0,0,nonpilot_low_adoption
Yingtan,Jiangxi,0,0,3,14.0,0,0,0,0,nonpilot_low_adoption
Yixing,Jiangsu,0,0,1,16.0,0,0,0,0,nonpilot_low_adoption
Yueyang,Hunan,0,0,1,16.0,0,0,0,0,nonpilot_low_adoption
Yulin,Guangxi,0,0,3,14.0,0,0,0,0,nonpilot_low_adoption
Zaozhuang,Shandong,0,0,1,16.0,0,0,0,0,nonpilot_low_adoption
Zhangjiagang,Jiangsu,0,0,2,15.0,0,0,0,0,nonpilot_low_adoption
Zhangzhou,Fujian,0,0,2,15.0,0,0,0,0,nonpilot_low_adoption
Zhanjiang,Guangdong,0,0,2,15.0,0,0,0,0,nonpilot_low_adoption
Zhaoyuan,Shandong,0,0,1,16.0,0,0,0,0,nonpilot_low_adoption
Zhengzhou,Henan,1,1,4,13.0,0,0,0,0,pilot_non_hub
Zhenjiang,Jiangsu,0,0,2,15.0,0,0,0,0,nonpilot_low_adoption
Zhongshan,Guangdong,0,0,1,16.0,0,0,0,0,nonpilot_low_adoption
Zhuhai,Guangdong,0,0,1,16.0,0,0,0,0,nonpilot_low_adoption
Zhuzhou,Hunan,0,0,2,15.0,0,0,0,0,nonpilot_low_adoption
Zibo,Shandong,0,0,1,16.0,0,0,0,0,nonpilot_low_adoption
