city,province,industry_code,industry,year,pilot_zone,pilot_year,post_pilot,years_since_pilot,ai_exposure_ex_ante,robot_compatibility,smart_factory_count,smart_factory_excellence_count,industrial_ai_patents,machine_vision_patents,robotics_patents,predictive_maintenance_patents,digital_twin_patents,quality_inspection_patents,process_control_patents,industrial_ai_procurement_count,industrial_ai_procurement_value,aid_equal_index,procurement_layer_status,source_coverage_flags
Chengdu,Sichuan,electronics,electronics,2025,1,2020.0,1,5.0,1.625,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.6496025038251678,pending,patents=0;smart_factories=1;procurement=pending
Chengdu,Sichuan,industrial_machinery,industrial_machinery,2024,1,2020.0,1,4.0,1.5,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.5469760043472821,pending,patents=0;smart_factories=1;procurement=pending
Chengdu,Sichuan,industrial_machinery,industrial_machinery,2025,1,2020.0,1,5.0,1.5,2,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,1.093838602161152,pending,patents=0;smart_factories=1;procurement=pending
Chengdu,Sichuan,pharmaceuticals,pharmaceuticals,2021,1,2020.0,1,1.0,1.625,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,0.557510138150086,pending,patents=1;smart_factories=0;procurement=pending
Chengdu,Sichuan,precision_instruments,precision_instruments,2022,1,2020.0,1,2.0,1.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,0.16693958951763732,pending,patents=1;smart_factories=0;procurement=pending
Chengdu,Sichuan,shipbuilding,shipbuilding,2024,1,2020.0,1,4.0,1.125,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.018484998151061943,pending,patents=0;smart_factories=1;procurement=pending
Chongqing,Chongqing,automotive_and_nev,automotive_and_nev,2024,1,2020.0,1,4.0,1.75,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,1.0256603022099884,pending,patents=0;smart_factories=1;procurement=pending
Chongqing,Chongqing,automotive_and_nev,automotive_and_nev,2025,1,2020.0,1,5.0,1.75,2,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,1.2990916011169233,pending,patents=0;smart_factories=1;procurement=pending
Chongqing,Chongqing,chemicals_and_petrochemicals,chemicals_and_petrochemicals,2017,1,2020.0,0,-3.0,1.25,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,,-0.45797328829428047,pending,patents=1;smart_factories=0;procurement=pending
Chongqing,Chongqing,chemicals_and_petrochemicals,chemicals_and_petrochemicals,2024,1,2020.0,1,4.0,1.25,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,-0.14852478963640747,pending,patents=0;smart_factories=1;procurement=pending
Chongqing,Chongqing,chemicals_and_petrochemicals,chemicals_and_petrochemicals,2025,1,2020.0,1,5.0,1.25,0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.12490650927052738,pending,patents=0;smart_factories=1;procurement=pending
Chongqing,Chongqing,construction_machinery,construction_machinery,2016,1,2020.0,0,-4.0,0.875,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,-0.286386560034509,pending,patents=1;smart_factories=0;procurement=pending
Chongqing,Chongqing,electronics,electronics,2024,1,2020.0,1,4.0,1.625,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.6496025038251678,pending,patents=0;smart_factories=1;procurement=pending
Chongqing,Chongqing,industrial_machinery,industrial_machinery,2024,1,2020.0,1,4.0,1.5,2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,1.093838602161152,pending,patents=0;smart_factories=1;procurement=pending
Chongqing,Chongqing,industrial_machinery,industrial_machinery,2025,1,2020.0,1,5.0,1.5,2,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,2.460995096695826,pending,patents=0;smart_factories=1;procurement=pending
Chongqing,Chongqing,logistics_equipment,logistics_equipment,2024,1,2020.0,1,4.0,1.25,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.568291706484576,pending,patents=1;smart_factories=0;procurement=pending
Chongqing,Chongqing,precision_instruments,precision_instruments,2025,1,2020.0,1,5.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,-0.0596291115754278,pending,patents=0;smart_factories=1;procurement=pending
Chongqing,Chongqing,robotics,robotics,2018,1,2020.0,0,-2.0,1.625,2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,,0.17934884524201344,pending,patents=1;smart_factories=0;procurement=pending
Chongqing,Chongqing,semiconductors,semiconductors,2015,1,2020.0,0,-5.0,1.875,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.2773984042475971,pending,patents=1;smart_factories=0;procurement=pending
Chongqing,Chongqing,shipbuilding,shipbuilding,2019,1,2020.0,0,-1.0,1.125,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,,-0.2373617805317172,pending,patents=1;smart_factories=0;procurement=pending
Chongqing,Chongqing,steel_and_metals,steel_and_metals,2021,1,2020.0,1,1.0,1.25,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,,0.3231678089706168,pending,patents=1;smart_factories=0;procurement=pending
Chongqing,Chongqing,steel_and_metals,steel_and_metals,2025,1,2020.0,1,5.0,1.25,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.09659910787755172,pending,patents=0;smart_factories=1;procurement=pending
Chuzhou,Anhui,industrial_machinery,industrial_machinery,2024,0,,0,,1.5,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,-0.0962446353538435,pending,patents=0;smart_factories=1;procurement=pending
Dalian,Liaoning,automotive_and_nev,automotive_and_nev,2021,0,,0,,1.75,2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,,0.22837362474480527,pending,patents=1;smart_factories=0;procurement=pending
Dalian,Liaoning,automotive_and_nev,automotive_and_nev,2025,0,,0,,1.75,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0018049236517401757,pending,patents=0;smart_factories=1;procurement=pending
Dalian,Liaoning,batteries,batteries,2019,0,,0,,1.875,2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0,,0.2773984042475971,pending,patents=1;smart_factories=0;procurement=pending
Dalian,Liaoning,chemicals_and_petrochemicals,chemicals_and_petrochemicals,2015,0,,0,,1.25,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,,-0.45797328829428047,pending,patents=1;smart_factories=0;procurement=pending
Dalian,Liaoning,electrical_machinery,electrical_machinery,2016,0,,0,,1.25,2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,,0.03227450673363792,pending,patents=1;smart_factories=0;procurement=pending
Dalian,Liaoning,electrical_machinery,electrical_machinery,2018,0,,0,,1.25,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,,0.03227450673363792,pending,patents=1;smart_factories=0;procurement=pending
Dalian,Liaoning,industrial_machinery,industrial_machinery,2024,0,,0,,1.5,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,-0.0962446353538435,pending,patents=0;smart_factories=1;procurement=pending
Dalian,Liaoning,industrial_machinery,industrial_machinery,2025,0,,0,,1.5,2,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.17718666355309134,pending,patents=0;smart_factories=1;procurement=pending
Dalian,Liaoning,pharmaceuticals,pharmaceuticals,2023,0,,0,,1.625,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,-0.1393122215261335,pending,patents=1;smart_factories=0;procurement=pending
